param,sharpe_ratio,max_ddpercent,max_drawdown_duration,daily_trade_count,renew_interval,hedge_ratio_window
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 30}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 20}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 10}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 55}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 50}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 40}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 30}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 20}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 10}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 40}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 50}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 40}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 30}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 20}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 10}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 55}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 50}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 55}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 30}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 40}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 20}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 20}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 30}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 10}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 50}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 55}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 10}",1.019402344,-228.52675,212,7.633802817,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 40, 'mean_window': 40}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 40, 'mean_window': 50}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 40, 'mean_window': 40}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 40, 'mean_window': 30}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 40, 'mean_window': 20}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 40, 'mean_window': 10}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 40, 'mean_window': 55}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 40, 'mean_window': 50}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 40, 'mean_window': 55}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 40, 'mean_window': 30}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 40, 'mean_window': 40}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 40, 'mean_window': 10}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 40, 'mean_window': 20}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 40, 'mean_window': 30}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 40, 'mean_window': 20}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 40, 'mean_window': 50}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 40, 'mean_window': 55}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 40, 'mean_window': 10}",0.955918857,-530.84225,211,16.28169014,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 40}",0.276081014,-170.77385,198,4.591549296,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 50}",0.276081014,-170.77385,198,4.591549296,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 40}",0.276081014,-170.77385,198,4.591549296,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 30}",0.276081014,-170.77385,198,4.591549296,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 20}",0.276081014,-170.77385,198,4.591549296,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 10}",0.276081014,-170.77385,198,4.591549296,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 55}",0.276081014,-170.77385,198,4.591549296,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 50}",0.276081014,-170.77385,198,4.591549296,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 10, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 55}",0.276081014,-170.77385,198,4.591549296,3,30
